"estimated_genus_name","Major_Functional_Group","estimated_taxa_group","family_from_previous.keys","family_from_taxize","new_estimated_family_name","new_family_est_reasoning"
"Trachinotus","Pelagic marine fish (excl. anchovy & sardine)","PAMPANO","Carangidae","Carangidae","Carangidae","family name was estimated from previous keys"
"Triakis","Sharks","TIBURON",NA,"Triakidae","Triakidae","family name was estimated from genus name using taxize function"
"Trichiurus","Pelagic marine fish (excl. anchovy & sardine)","CINTILLA","Trichiuridae","Trichiuridae","Trichiuridae","family name was estimated from previous keys"
"Triplofusus","Molluscs excl. Cephalopods","CARACOL","Fasciolariidae","Fasciolariidae","Fasciolariidae","family name was estimated from previous keys"
"Turbinella","Molluscs excl. Cephalopods","CARACOL",NA,"Turbinellidae","Turbinellidae","family name was estimated from genus name using taxize function"
"Turbo","Molluscs excl. Cephalopods","CARACOL","Turbinidae","Turbinidae","Turbinidae","family name was estimated from previous keys"
"Ucides","Crustaceans","OTRAS",NA,"Ocypodidae","Ocypodidae","family name was estimated from genus name using taxize function"
"Urotrygon","Demersal marine fishes","RAYA Y SIMILARES","Urotrygonidae","Urotrygonidae","Urotrygonidae","family name was estimated from previous keys"
"Xenichthys","Demersal marine fishes","OTRAS","Haemulidae","Haemulidae","Haemulidae","family name was estimated from previous keys"
"Xiphias","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Xiphiidae","Xiphiidae","Xiphiidae","family name was estimated from previous keys"
"Xiphopenaeus","Shrimps, prawns","CAMARON",NA,"Penaeidae","Penaeidae","family name was estimated from genus name using taxize function"
