"Year","OHI_Region","Stock_genera","Annual_Catch_kg","Avg_Catch_Ref2018.2022","n_Years_Ref2018.2022","Carta_est.Status","CMSY_est.B","RAM_n_Assessments","Carta_StockStatus","CMSY_StockStatus","RAM_StockStatus","StockStatus_Pick","StockStatus_capped"
2020,"region_1","carcharhinus",2453.25,1612.6875,4,"maximally harvested",34514.80073,NA,0.657367777438092,1.165738821,NA,1.165738821,1
2021,"region_1","carcharhinus",1790,1612.6875,4,"maximally harvested",32570.82053,NA,0.900942737430168,1.100080809,NA,1.100080809,1
2022,"region_1","carcharhinus",2107.5,1612.6875,4,"maximally harvested",30920.6758,NA,0.765213523131673,1.044347103,NA,1.044347103,1
2023,"region_1","carcharhinus",35,1612.6875,4,"maximally harvested",29135.76359,NA,1,0.984061619,NA,0.984061619,0.984061619
2018,"region_2","carcharhinus",140073.3,69649.075,4,"maximally harvested",37878.48509,NA,0.497233055835766,1.279347399,NA,1.279347399,1
2020,"region_2","carcharhinus",79547.2,69649.075,4,"maximally harvested",34514.80073,NA,0.875569158939598,1.165738821,NA,1.165738821,1
2021,"region_2","carcharhinus",17372.2,69649.075,4,"maximally harvested",32570.82053,NA,1,1.100080809,NA,1.100080809,1
2022,"region_2","carcharhinus",41603.6,69649.075,4,"maximally harvested",30920.6758,NA,1,1.044347103,NA,1.044347103,1
2023,"region_2","carcharhinus",30693,69649.075,4,"maximally harvested",29135.76359,NA,1,0.984061619,NA,0.984061619,0.984061619
2024,"region_2","carcharhinus",31.4,69649.075,4,"maximally harvested",27415.26985,NA,1,0.925951872,NA,0.925951872,0.925951872
2018,"region_3","carcharhinus",24470.6,17145.62,5,"maximally harvested",37878.48509,NA,0.700662018912491,1.279347399,NA,1.279347399,1
2019,"region_3","carcharhinus",22834,17145.62,5,"maximally harvested",36319.49537,NA,0.750881142156433,1.226692457,NA,1.226692457,1
2020,"region_3","carcharhinus",10937.5,17145.62,5,"maximally harvested",34514.80073,NA,1,1.165738821,NA,1.165738821,1
2021,"region_3","carcharhinus",9167.5,17145.62,5,"maximally harvested",32570.82053,NA,1,1.100080809,NA,1.100080809,1
2022,"region_3","carcharhinus",18318.5,17145.62,5,"maximally harvested",30920.6758,NA,1,1.044347103,NA,1.044347103,1
2023,"region_3","carcharhinus",6250,17145.62,5,"maximally harvested",29135.76359,NA,1,0.984061619,NA,0.984061619,0.984061619
2024,"region_3","carcharhinus",13922.4,17145.62,5,"maximally harvested",27415.26985,NA,1,0.925951872,NA,0.925951872,0.925951872
2018,"region_4","carcharhinus",150154,330955.22,5,"maximally harvested",37878.48509,NA,1,1.279347399,NA,1.279347399,1
2019,"region_4","carcharhinus",215048.95,330955.22,5,"maximally harvested",36319.49537,NA,1,1.226692457,NA,1.226692457,1
2020,"region_4","carcharhinus",439948.75,330955.22,5,"maximally harvested",34514.80073,NA,0.752258575572723,1.165738821,NA,1.165738821,1
2021,"region_4","carcharhinus",83182.9,330955.22,5,"maximally harvested",32570.82053,NA,1,1.100080809,NA,1.100080809,1
2022,"region_4","carcharhinus",766441.5,330955.22,5,"maximally harvested",30920.6758,NA,0.431807541736714,1.044347103,NA,1.044347103,1
2023,"region_4","carcharhinus",1004036,330955.22,5,"maximally harvested",29135.76359,NA,0.329624854088897,0.984061619,NA,0.984061619,0.984061619
2024,"region_4","carcharhinus",1417111.75,330955.22,5,"maximally harvested",27415.26985,NA,0.233542075986597,0.925951872,NA,0.925951872,0.925951872
2020,"region_5","carcharhinus",5758.75,6290.41666666667,3,"maximally harvested",34514.80073,NA,1,1.165738821,NA,1.165738821,1
2021,"region_5","carcharhinus",11812.5,6290.41666666667,3,"maximally harvested",32570.82053,NA,0.532522045855379,1.100080809,NA,1.100080809,1
2022,"region_5","carcharhinus",1300,6290.41666666667,3,"maximally harvested",30920.6758,NA,1,1.044347103,NA,1.044347103,1
2023,"region_5","carcharhinus",2090,6290.41666666667,3,"maximally harvested",29135.76359,NA,1,0.984061619,NA,0.984061619,0.984061619
2024,"region_5","carcharhinus",206097.85,6290.41666666667,3,"maximally harvested",27415.26985,NA,0.0305215055211234,0.925951872,NA,0.925951872,0.925951872
2018,"region_6","carcharhinus",16240.3,41686.16,5,"maximally harvested",37878.48509,NA,1,1.279347399,NA,1.279347399,1
2019,"region_6","carcharhinus",54957,41686.16,5,"maximally harvested",36319.49537,NA,0.758523209054352,1.226692457,NA,1.226692457,1
2020,"region_6","carcharhinus",28037,41686.16,5,"maximally harvested",34514.80073,NA,1,1.165738821,NA,1.165738821,1
2021,"region_6","carcharhinus",51709,41686.16,5,"maximally harvested",32570.82053,NA,0.806168365274904,1.100080809,NA,1.100080809,1
2022,"region_6","carcharhinus",57487.5,41686.16,5,"maximally harvested",30920.6758,NA,0.725134333550772,1.044347103,NA,1.044347103,1
2024,"region_6","carcharhinus",560,41686.16,5,"maximally harvested",27415.26985,NA,1,0.925951872,NA,0.925951872,0.925951872
2018,"region_7","carcharhinus",19750,139525.2,5,"maximally harvested",37878.48509,NA,1,1.279347399,NA,1.279347399,1
2019,"region_7","carcharhinus",55238,139525.2,5,"maximally harvested",36319.49537,NA,1,1.226692457,NA,1.226692457,1
2020,"region_7","carcharhinus",210188,139525.2,5,"maximally harvested",34514.80073,NA,0.663811444992102,1.165738821,NA,1.165738821,1
2021,"region_7","carcharhinus",79165,139525.2,5,"maximally harvested",32570.82053,NA,1,1.100080809,NA,1.100080809,1
2022,"region_7","carcharhinus",333285,139525.2,5,"maximally harvested",30920.6758,NA,0.418636302263828,1.044347103,NA,1.044347103,1
2023,"region_7","carcharhinus",154397,139525.2,5,"maximally harvested",29135.76359,NA,0.903678180275524,0.984061619,NA,0.984061619,0.984061619
2024,"region_7","carcharhinus",117770,139525.2,5,"maximally harvested",27415.26985,NA,1,0.925951872,NA,0.925951872,0.925951872
2018,"region_8","carcharhinus",380599.15,1426748.03,5,"maximally harvested",37878.48509,NA,1,1.279347399,NA,1.279347399,1
2019,"region_8","carcharhinus",623853.8,1426748.03,5,"maximally harvested",36319.49537,NA,1,1.226692457,NA,1.226692457,1
2020,"region_8","carcharhinus",2315411.35,1426748.03,5,"maximally harvested",34514.80073,NA,0.616196353187955,1.165738821,NA,1.165738821,1
2021,"region_8","carcharhinus",2526067.4,1426748.03,5,"maximally harvested",32570.82053,NA,0.56480996112772,1.100080809,NA,1.100080809,1
2022,"region_8","carcharhinus",1287808.45,1426748.03,5,"maximally harvested",30920.6758,NA,1,1.044347103,NA,1.044347103,1
2023,"region_8","carcharhinus",2189769,1426748.03,5,"maximally harvested",29135.76359,NA,0.651551844052957,0.984061619,NA,0.984061619,0.984061619
2024,"region_8","carcharhinus",6547190.15,1426748.03,5,"maximally harvested",27415.26985,NA,0.21791761004528,0.925951872,NA,0.925951872,0.925951872
2018,"region_9","carcharhinus",2889108.3,1264737.26,5,"maximally harvested",37878.48509,NA,0.437760419019252,1.279347399,NA,1.279347399,1
2019,"region_9","carcharhinus",1897259.05,1264737.26,5,"maximally harvested",36319.49537,NA,0.666612848677675,1.226692457,NA,1.226692457,1
2020,"region_9","carcharhinus",669619.45,1264737.26,5,"maximally harvested",34514.80073,NA,1,1.165738821,NA,1.165738821,1
2021,"region_9","carcharhinus",431361.75,1264737.26,5,"maximally harvested",32570.82053,NA,1,1.100080809,NA,1.100080809,1
