"year","OHI_Region_No","estimated_genus_name","status","Annual_Catch_kg","Catch_t2_vs_Catch_t1","control","notes","CNP_score"
2022,"region_3","mustelus","maximally harvested",11613,"increased","no increase",NA,0.6
2023,"region_3","mustelus","maximally harvested",21426,"increased","no increase",NA,0.6
2024,"region_3","mustelus","maximally harvested",13589.2,"decreased","no increase",NA,0.8
2021,"region_3","negaprion","maximally harvested",168,"decreased","no increase",NA,0.8
2020,"region_3","octopus","maximally harvested",3095,"increased","no increase",NA,0.6
2019,"region_3","panulirus",NA,151478,"similar",NA,NA,NA
2020,"region_3","panulirus",NA,132373,"similar",NA,NA,NA
2021,"region_3","panulirus",NA,116395,"similar",NA,NA,NA
2022,"region_3","panulirus",NA,116355,"similar",NA,NA,NA
2023,"region_3","panulirus",NA,95147,"similar",NA,NA,NA
2024,"region_3","panulirus",NA,79283,"similar",NA,NA,NA
2019,"region_3","paralabrax","maximally harvested",231965.1,"similar","no increase",NA,0.7
2020,"region_3","paralabrax","maximally harvested",211735.9,"similar","no increase",NA,0.7
2021,"region_3","paralabrax","maximally harvested",302589.8,"increased","no increase",NA,0.6
2022,"region_3","paralabrax","maximally harvested",303743,"similar","no increase",NA,0.7
2023,"region_3","paralabrax","maximally harvested",231439,"decreased","no increase",NA,0.8
2024,"region_3","paralabrax","maximally harvested",298780.2,"increased","no increase",NA,0.6
2019,"region_3","prionace","maximally harvested",6635,"increased","no increase",NA,0.6
2020,"region_3","prionace","maximally harvested",2258,"decreased","no increase",NA,0.8
2021,"region_3","prionace","maximally harvested",955.8,"decreased","no increase",NA,0.8
2022,"region_3","prionace","maximally harvested",21,"decreased","no increase",NA,0.8
2024,"region_3","prionace","maximally harvested",67.5,"increased","no increase",NA,0.6
2019,"region_3","rhizoprionodon","maximally harvested",153329.8,"increased","no increase",NA,0.6
2020,"region_3","rhizoprionodon","maximally harvested",188729.45,"increased","no increase",NA,0.6
2021,"region_3","rhizoprionodon","maximally harvested",132018,"decreased","no increase",NA,0.8
2022,"region_3","rhizoprionodon","maximally harvested",192239.1,"increased","no increase",NA,0.6
