"recorded_taxa_group","common_name_clean","estimated_species_name.x","species_est_certainty","species_est_reasoning","estimated_genus_name","genus_est_reasoning","estimated_taxa_group","estimated_species_name.y","Manual_Classification_Notes","ornamentalFLAG_1","IHH_functional_major_groups_sm","Major_Functional_Group","Assignment_for_Major_Functional_Group"
"OTRAS","chopa amarilla","Spondyliosoma cantharus","high confidence","match to Hem's key","Spondyliosoma","genus derived from known species",NA,"Spondyliosoma cantharus","Black seabream","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"PECES DE ORNATO","monja","Tetra Negro","virtually certain","name was recorded in CONAPESCA","Tetra","genus derived from known species",NA,NA,NA,NA,NA,NA,NA
"OTRAS","acedia","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","I don't know what this is…","NO",NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","crappie","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"unknown","Freshwater sunfish","NO",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","cangrejo gallo","Calappa granulata","high confidence","match to Hem's key","Calappa","genus derived from known species",NA,"Calappa granulata","Red-spotted box crab","NO",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups"
"PECES DE ORNATO","espada","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Swordtail minnow","YES",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","mejillon mediterraneo","Mytilus Galloprovincialis","virtually certain","name was recorded in CONAPESCA","Mytilus","genus derived from known species",NA,NA,NA,NA,NA,NA,NA
"OTRAS","cojinete","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","I don't know what this is… A fish of some sort?","NO",NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","bacinico","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","I don't know what this is… a shellfish perhaps?",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","tolete","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"unknown","Looks like this is probably a barracuda","NO",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","corvinato","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Assuming corvina type fish","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","baina","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","I don't know what this is… A shelfish of some sort?","NO",NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS",NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA,NA,NA,NA,NA
