"recorded_taxa_group","estimated_taxa_group","common_name_clean","estimated_species_name","estimated_genus_name","IHH_functional_major_groups_sm","Major_Functional_Group","Assignment_for_Major_Functional_Group","Manual_Classification_Notes","species_est_certainty","species_est_reasoning","genus_est_reasoning","ornamentalFLAG_1"
"TRUCHA","TRUCHA",NA,NA,NA,NA,"Marine or freshwater fishes NEI","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"BAGRE","BAGRE",NA,NA,"Ariopsis",NA,"Demersal marine fishes","Assigned_Step_3: forced genus-level consistency; if genus is equal then assume Major_Functional_Group is equal too.",NA,NA,NA,NA,NA
"CABRILLA","MERO",NA,NA,"Epinephelus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"ATUN","ATUN",NA,NA,"Thunnus",NA,"Pelagic marine fishes","Assigned_Step_2: based on genus-level details; interpolated Major_Functional_Group based on records with matching genus name.",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Alopias","Demersal marine fishes","Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"RAYA Y SIMILARES","RAYA Y SIMILARES",NA,NA,"Urotrygon","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CINTILLA","CINTILLA",NA,NA,"NEI","Marine fishes NEI","Pelagic marine fishes","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"CABRILLA","CABRILLA",NA,NA,NA,NA,"Demersal marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"CORVINA","CORVINA",NA,NA,"Cynoscion",NA,"Demersal marine fishes","Assigned_Step_2: based on genus-level details; interpolated Major_Functional_Group based on records with matching genus name.",NA,NA,NA,NA,NA
"PETO","PETO",NA,NA,NA,NA,"Demersal marine fishes",NA,NA,NA,NA,NA,NA
"RONCO","RUBIO",NA,NA,"Haemulon","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
