"Major_Functional_Group","recorded_taxa_group","estimated_genus_name","estimated_species_name","states","n_records_2000.2025"
"demersal marine fishes","OTRAS","lutjanus","lutjanus analis","BAJA CALIFORNIA SUR, SINALOA",12
"demersal marine fishes","OTRAS","lutjanus","lutjanus jordani","BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",6149
"demersal marine fishes","OTRAS","lutjanus","lutjanus novemfasciatus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",445
"demersal marine fishes","OTRAS","lutjanus","lutjanus peru","SINALOA",1
"demersal marine fishes","OTRAS","lutjanus","lutjanus synagris","BAJA CALIFORNIA, BAJA CALIFORNIA SUR",3
"demersal marine fishes","OTRAS","merluccius","merluccius productus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",9076
"demersal marine fishes","OTRAS","microlepidotus","microlepidotus brevipinnis","JALISCO, NAYARIT, SINALOA, SONORA",5510
"demersal marine fishes","OTRAS","microlepidotus","microlepidotus inornatus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",634
"demersal marine fishes","OTRAS","micropogonias","micropogonias ectenes","SONORA",1
"demersal marine fishes","OTRAS","mulloidichthys","mulloidichthys dentatus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",163
"demersal marine fishes","OTRAS","mycteroperca","mycteroperca jordani","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",2012
"demersal marine fishes","OTRAS","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",26725
"demersal marine fishes","OTRAS","nematistius","nematistius pectoralis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",671
"demersal marine fishes","OTRAS","nicholsina","nicholsina denticulata","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",537
"demersal marine fishes","OTRAS","nicholsina","nicholsina usta","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA",44
"demersal marine fishes","OTRAS","opistognathus","opistognathus rhomaleus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SONORA",185
"demersal marine fishes","OTRAS","orthopristis","orthopristis cantharinus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA",4943
"demersal marine fishes","OTRAS","orthopristis","orthopristis chalceus","NAYARIT",1
"demersal marine fishes","OTRAS","orthopristis","orthopristis chrisopterus","SINALOA",1
"demersal marine fishes","OTRAS","paralabrax","paralabrax auroguttatus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",30050
"demersal marine fishes","OTRAS","paralabrax","paralabrax loro","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",166
"demersal marine fishes","OTRAS","paranthias","paranthias colonus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",483
"demersal marine fishes","OTRAS","paranthias","paranthias furcifer","BAJA CALIFORNIA SUR, SINALOA, SONORA",4
"demersal marine fishes","OTRAS","parapsettus","parapsettus panamensis","BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA",555
"demersal marine fishes","OTRAS","perissias","perissias taeniopterus","SINALOA",3
"demersal marine fishes","OTRAS","polydactylus","polydactylus approximans","BAJA CALIFORNIA, SINALOA",2
"demersal marine fishes","OTRAS","pomadasys","pomadasys panamensis","BAJA CALIFORNIA SUR, JALISCO",2
"demersal marine fishes","OTRAS","pseudobatos","pseudobatos productus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",4797
"demersal marine fishes","OTRAS","pseudupeneus","pseudupeneus grandisquamis","BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",372
"demersal marine fishes","OTRAS","scorpaena","scorpaena mystes","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",2582
