"year","OHI_region_est","taxon_key","taxon_level","estimated_genus_name","annual_Catch_kg","n_landings_records","mean_Catch_2018.22_kg","n.years_Catch_2018.22","status","control","carta_source","Year_of_Recommendation","notes","carta_recommendation_source","catch_vs_reference_expectation","Stock_Status"
2018,"region_2","cynoscion reticulatus","species","cynoscion",300,1,12632.8,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2019,"region_2","cynoscion reticulatus","species","cynoscion",705,6,12632.8,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2020,"region_2","cynoscion reticulatus","species","cynoscion",52980,12,12632.8,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.23844469611174
2021,"region_2","cynoscion reticulatus","species","cynoscion",7910,11,12632.8,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2022,"region_2","cynoscion reticulatus","species","cynoscion",1269,5,12632.8,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2023,"region_2","cynoscion reticulatus","species","cynoscion",3341,15,12632.8,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2024,"region_2","cynoscion reticulatus","species","cynoscion",2946,11,12632.8,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2018,"region_2","cynoscion xanthulus","species","cynoscion",30022,40,36560,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2019,"region_2","cynoscion xanthulus","species","cynoscion",47221,79,36560,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.774231803646683
2020,"region_2","cynoscion xanthulus","species","cynoscion",24948,57,36560,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2021,"region_2","cynoscion xanthulus","species","cynoscion",23420,50,36560,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2022,"region_2","cynoscion xanthulus","species","cynoscion",57189,157,36560,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.639283778348983
2023,"region_2","cynoscion xanthulus","species","cynoscion",62115,210,36560,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.588585687837076
2024,"region_2","cynoscion xanthulus","species","cynoscion",101044.3,201,36560,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.36182149809539
2018,"region_2","dosidicus gigas","species","dosidicus",9577.1,6,9084.275,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,"specifically says to not increase fishing effort in the Gulf of California","original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.94854131208821
2019,"region_2","dosidicus gigas","species","dosidicus",25700,5,9084.275,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,"specifically says to not increase fishing effort in the Gulf of California","original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.35347373540856
2021,"region_2","dosidicus gigas","species","dosidicus",138,2,9084.275,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,"specifically says to not increase fishing effort in the Gulf of California","original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
