Region,Stock,ScientificName,Major_Functional_Group,Landings_Datasource,StartYear,EndYear,int_yr,btype,force.cmsy,Flim,Fpa,Blim,Bpa,Bmsy,B40,FMSY,MSY,MSYBtrigger,M,Fofl,last_F,q.start,q.end,st_b.low,st_b.hi,int_b.low,int_b.hi,end_b.low,end_b.hi,r.low,r.hi,Resilience,Resilience_Source,Yes_Run,Comment
goc,sardinops,PENDING,PENDING,jc_data,2000,2024,2015,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,my_best_guess,0,Incomplete model priors
goc,scomberomorus,PENDING,PENDING,jc_data,2000,2024,2010,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,farfantepenaeus,PENDING,PENDING,jc_data,2000,2024,2018,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,High,Sealifebase_Penaeus californiensis,0,Incomplete model priors
goc,litopenaeus,PENDING,PENDING,jc_data,2000,2024,2018,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,High,Sealifebase_Penaeus californiensis,0,Incomplete model priors
goc,penaeus,PENDING,PENDING,jc_data,2000,2024,2018,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,High,Sealifebase_Penaeus californiensis,0,Incomplete model priors
goc,rimapenaeus,PENDING,PENDING,jc_data,2000,2024,2018,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,High,Sealifebase_Penaeus californiensis,0,Incomplete model priors
goc,sicyonia,PENDING,PENDING,jc_data,2000,2024,2018,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,High,Sealifebase_Penaeus californiensis,0,Incomplete model priors
goc,nicholsina,PENDING,PENDING,jc_data,2000,2024,2014,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,alopias,PENDING,PENDING,jc_data,2001,2024,2011,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,Low,best_guess_Mycteroperca.jordani,1,NA
goc,prionace,PENDING,PENDING,jc_data,2001,2024,2011,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,Low,best_guess_Mycteroperca.jordani,1,NA
goc,strongylocentrotus,PENDING,PENDING,jc_data,2001,2024,2008,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,my_best_guess,0,Incomplete model priors
