"year","estimated_genus_name","Major_Functional_Group","total_biomass_kg","total_revenue"
2004,"Litopenaeus","Shrimps, prawns",80474.2,5120129
2004,"Lobatus","Molluscs excl. Cephalopods",7837,21558
2004,"Lutjanus","Demersal marine fishes",3173369.9,74566947
2004,"Megapitaria","Molluscs excl. Cephalopods",1468931,4956076
2004,"Megastraea","Molluscs excl. Cephalopods",1818884,5024256
2004,"Menticirrhus","Demersal marine fishes",221229,834214
2004,"Merluccius","Demersal marine fishes",2412717.1,15984345
2004,"Mesocentrotus","Echinoderms",1736776,32079208
2004,"Microlepidotus","Demersal marine fishes",1169292.3,2477904
2004,"Micropogonias","Demersal marine fishes",2612996.4,13421506
2004,"Mobula","Demersal marine fishes",1250842.35,7345751
2004,"Mugil","Demersal marine fishes",2810789.5,12803696
2004,"Mustelus","Sharks",230968.8,2630226
2004,"Mycteroperca","Demersal marine fishes",620922.75,10271626
2004,"Nematistius","Demersal marine fishes",99,1440
2004,"Nicholsina","Demersal marine fishes",16566.2,374335
2004,"Oligoplites","Pelagic marine fish (excl. anchovy & sardine)",500,1000
2004,"Opisthonema","Anchovy & Sardine (small pelagics)",127385887.2,66219422
2004,"Orthopristis","Demersal marine fishes",31089,129771
2004,"Panulirus","Crustaceans",1617026,123661981
2004,"Paralabrax","Demersal marine fishes",5056915.4,20045268
2004,"Paranthias","Demersal marine fishes",2758,30025
2004,"Parapsettus","Demersal marine fishes",15104,73920
2004,"Penaeus","Shrimps, prawns",8300091.6,468916097
2004,"Prionace","Sharks",175180,1147570
2004,"Pseudobatos","Demersal marine fishes",1591594.2,14377848
2004,"Pseudupeneus","Demersal marine fishes",974.1,25814
2004,"Rimapenaeus","Shrimps, prawns",431721.2,5448323
2004,"Sarda","Pelagic marine fish (excl. anchovy & sardine)",80625.65,496363
2004,"Sardinops","Anchovy & Sardine (small pelagics)",115635289.04,106328128
2004,"Scomber","Pelagic marine fish (excl. anchovy & sardine)",28900738.84,17561375
2004,"Scomberomorus","Pelagic marine fish (excl. anchovy & sardine)",3959309.02,36550427
2004,"Scorpaena","Demersal marine fishes",87197.9,773616
2004,"Selene","Pelagic marine fish (excl. anchovy & sardine)",128940.3,533311
2004,"Seriola","Pelagic marine fish (excl. anchovy & sardine)",1128922.3,9852547
