"state","landing_site","est_habitat","lat_final","lon_final","FLAGS","HemKey_lat","HemKey_lon","MelKey_lat","MelKey_lon","OHI_region_draft","site_notes_Mel"
"BAJA CALIFORNIA SUR","SANTA ROSA",NA,24.5608769444444,-111.446977222222,"alert 2: multiple lat-long values in Hem's key that are more than 1 degree apart",24.5608769444444,-111.446977222222,23.3,-109.9,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","LORETO",NA,26.0124380592593,-111.344695477778,"high confidence",26.0124380592593,-111.344695477778,26.005,-111.337,"Baja_California_Sur_South",NA
"SINALOA","PRESA EUSTAQUIO BUELNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","EL MAJAHUAL",NA,22.83,-106.03,"high confidence",22.83,-106.03,NA,NA,NA,NA
"SINALOA","EL CONCHAL",NA,24.2429144444444,-107.329207222222,"high confidence",24.2429144444444,-107.329207222222,NA,NA,NA,NA
"SINALOA","LAGUNA DE CAIMANERO",NA,22.918,-106.046,"high confidence",22.918,-106.046,NA,NA,NA,NA
"SINALOA","EL HUITUSSI",NA,25.5053970833333,-108.771214305556,"high confidence",25.5053970833333,-108.771214305556,NA,NA,NA,NA
"SINALOA","EL CARACOL",NA,25.4884327777778,-108.739910694444,"high confidence",25.4884327777778,-108.739910694444,NA,NA,NA,NA
"NAYARIT","EMBARCADERO DE PERICOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","PLAYA DE LA PEÑITA DE JALTEMBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","CHAGUIN, EL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","DARSENA NUM. 2 PTO. SAN BLAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JALISCO","RIO LERMA-SANTIAGO","freshwater",20.609,-103.363,NA,NA,NA,20.609,-103.363,"Nayarit/Jalisco","Large river system; landing sites occur near mouth into Presa Corona / Santiago river section. I give approximate middle point inside Jalisco portion."
"JALISCO","MISMALOYA","marine",20.5247,-105.2983,"alert 4: the lat-long values in Hem's key do not match the lat-long values in Mel's key by more than 2 degrees",20.1603694444444,-103.113982222222,20.5247,-105.2983,"Nayarit/Jalisco","Coastal village south of Puerto Vallarta; active artisanal landing zone."
"BAJA CALIFORNIA","PUNTA ESCARPADA (PUNTA BLUFF)",NA,29.5946,-114.0272,NA,NA,NA,29.5946,-114.0272,"Baja_California_South",NA
"BAJA CALIFORNIA SUR","SAN EVARISTO",NA,24.9107591666667,-110.709708611111,"high confidence",24.9107591666667,-110.709708611111,24.917,-110.698,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","BAHIA DE LA PAZ",NA,24.1392791,-110.3416797,"high confidence",24.1392791,-110.3416797,24.365,-110.491,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","SAN JUAN DE LA COSTA",NA,24.3712144444444,-110.688430555556,"high confidence",24.3712144444444,-110.688430555556,24.3814,-110.6837,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","PUNTA ARENA",NA,23.55354,-109.47,"high confidence",23.55354,-109.47,23.39,-109.41,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","MULEGE",NA,26.9076,-111.9558,NA,NA,NA,26.9076,-111.9558,"Baja_California_Sur_North",NA
"SINALOA","CAMPO PESQUERO LAS AGUAMITAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","BAHIA DE OHUIRA",NA,25.62456645,-108.983441,"high confidence",25.62456645,-108.983441,NA,NA,NA,NA
"SINALOA","PRESA LAS HIGUERAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","CAMPO PESQUERO COSPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","20 DE NOVIEMBRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
