state,landing_site_catch,landing_site_primary,lat,long,GulfCal
BAJA CALIFORNIA,EL MUERTO,MUERTO PUNTA EL,29.417,-113.7905,yes
BAJA CALIFORNIA,PLAYA SANTA MARIA,SANTA MARÍA PLAYA,30.405,-115.974,no
BAJA CALIFORNIA,EL MUERTITO O PUNTA ROSARITO (VARADERO),EL MUERTITO O PUNTA ROSARITO (VARADERO),32.26,-117.05,no
BAJA CALIFORNIA,RANCHO ZIMARRON KM 68,RANCHO ZIMARRON KM 68,30.63,-114.707,yes
BAJA CALIFORNIA,LAGUNA SALADA,SALADA LAGUNA,32.5007,-115.7502,yes
BAJA CALIFORNIA,ISLA PARTIDA,PARTIDA ISLA,28.87,-113.031,yes
BAJA CALIFORNIA,SALSIPUEDES,SALSIPUEDES,31.9671,-116.8176,no
BAJA CALIFORNIA,TODOS SANTOS,DE TODOS SANTOS BAHÍA,31.8031,-116.6838,no
BAJA CALIFORNIA,EL PLAYON DE SAN RAMON,EL PLAYON DE SAN RAMON,30.77,-116.059,no
BAJA CALIFORNIA,EL CARDON EN LAGUNA SAN IGNACIO,EL CARDON EN LAGUNA SAN IGNACIO,26.811,-113.178,no
BAJA CALIFORNIA,RINCON BALLENAS,BALLENAS RINCON DE,31.9809,-116.7964,no
BAJA CALIFORNIA,LITORAL (ROSARIO),ROSARIO EL,30.063,-115.763,no
BAJA CALIFORNIA,LITORAL DEL ESTADO,LITORAL DEL ESTADO,NA,NA,NA
BAJA CALIFORNIA,EL CARDON,CARDÓN EL,28.9074,-114.4487,no
BAJA CALIFORNIA,CERRO PRIETO,CERRO PRIETO,NA,NA,NA
BAJA CALIFORNIA,EL CONEJO,EL CONEJO,24.3281,-111.4473,no
BAJA CALIFORNIA,EL TOMATAL (VARADERO),EL TOMATAL (VARADERO),30.95,-116.36,no
BAJA CALIFORNIA,LIT.GOLFO DE CALIFORNIA,LIT.GOLFO DE CALIFORNIA,29.65,-113.86,yes
