"year","estimated_genus_name","Major_Functional_Group","estimated_taxa_group","total_biomass_kg","total_revenue"
2004,"Acanthurus","Demersal marine fishes","OTRAS",4326,87264
2004,"Aetobatus","Demersal marine fishes","RAYA Y SIMILARES",39823.25,175277
2004,"Alopias","Sharks","TIBURON",3386,26302
2004,"Anisotremus","Demersal marine fishes","OTRAS",176514.65,1360077
2004,"Anoplopoma","Demersal marine fishes","OTRAS",41344.3,450218
2004,"Argopecten","Molluscs excl. Cephalopods","ALMEJA",12819200,84829448
2004,"Ariopsis","Demersal marine fishes","BAGRE",10325,73745
2004,"Balistes","Demersal marine fishes","OTRAS",1413083.35,13739323
2004,"Brotula","Demersal marine fishes","LENGUADO",271368.6,3016360
2004,"Calamus","Demersal marine fishes","MOJARRA",19364,101066
2004,"Caranx","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",68944.9,5335840
2004,"Carcharhinus","Sharks","TIBURON",187113,1078193
2004,"Caulolatilus","Demersal marine fishes","PIERNA",816501.6,4797677
2004,"Centropomus","Demersal marine fishes","ROBALO",538918.81,13020179
2004,"Cetengraulis","Anchovy & Sardine (small pelagics)","SARDINA",82607206.44,25441900
2004,"Chanos","Diadromous fishes","OTRAS",13468.1,82833
2004,"Coryphaena","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",138439.45,1829936
2004,"Cynoscion","Demersal marine fishes","CORVINA",1951411,26402597
2004,"Diapterus","Demersal marine fishes","MOJARRA",32545,274334
2004,"Diplectrum","Demersal marine fishes","OTRAS",63681.9,1236603
2004,"Dosidicus","Cephalopods","CALAMAR",55356458,62580070
