recorded_taxa_group,common_name_clean,estimated_species_name,species_est_certainty,species_est_reasoning,estimated_genus_name,genus_est_reasoning,estimated_taxa_group,Manual_Classification_Notes,ornamentalFLAG_1,IHH_functional_major_groups_sm,Major_Functional_Group,Assignment_for_Major_Functional_Group
OTRAS,rana leopardo,Rana brownorum,high confidence,match to Hem's key,Rana,genus derived from known species,NA,Brown’s frog,NO,NA,Other freshwater taxa,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,rana toro,Rana catesbeiana,high confidence,match to Hem's key,Rana,genus derived from known species,NA,American bullfrog,NO,NA,Other freshwater taxa,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,coral,unknown,not applicable,no data in keys,NA,genus unknown,NA,Coral; likely ornamental?,POSSIBLY,NA,Other marine invertebrates,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,coral blanco,unknown,not applicable,no data in keys,NA,genus unknown,NA,Coral; likely ornamental?,POSSIBLY,NA,Other marine invertebrates,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,pata cabra,unknown,not applicable,no data in keys,NA,genus unknown,NA,Some sort of intertidal invertebrate?,NO,NA,Other marine invertebrates,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,tomate,Actinia equina,high confidence,match to Hem's key,Actinia,genus derived from known species,NA,Beadlet sea anemone,POSSIBLY,NA,Other marine invertebrates,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,agujilla,Belone belone,high confidence,match to Hem's key,Belone,genus derived from known species,NA,European garfish,NO,NA,Pelagic marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,balao,Hemiramphus balao,high confidence,match to Hem's key,Hemiramphus,genus derived from known species,NA,Balao halfbeak,NO,NA,Pelagic marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,charrito,unknown,medium confidence,conflicting matches in Hem's key and no data from IHH,NA,genus unknown,NA,Likely some form of jack mackerel or lookdown,NO,NA,Pelagic marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,charrito,Trachurus Symmetricus,virtually certain,name was recorded in CONAPESCA,Trachurus,genus derived from known species,NA,Likely some form of jack mackerel or lookdown,NO,NA,Pelagic marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,chencay,Hemirhamphus brasiliensis,high confidence,match to Hem's key,Hemirhamphus,genus derived from known species,NA,Brazilian halfbeak,NO,NA,Pelagic marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,chicharro,Selar crumenophthalmus,high confidence,match to Hem's key,Selar,genus derived from known species,NA,Bigeye scad,NO,NA,Pelagic marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,lacha,Brevoortia pectinata,high confidence,match to Hem's key,Brevoortia,genus derived from known species,NA,Gulf menhaden,NO,NA,Pelagic marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,machete,Ethmidium maculatum,high confidence,match to Hem's key,Ethmidium,genus derived from known species,NA,Pacific menhaden,NO,NA,Pelagic marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,marlin azul,Makaira ampla,high confidence,match to Hem's key,Makaira,genus derived from known species,NA,Atlantic blue marlin,NO,NA,Pelagic marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,marlin blanco,Tetrapturus albidus,high confidence,match to Hem's key,Tetrapturus,genus derived from known species,NA,White marlin,NO,NA,Pelagic marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,marlin negro,Makaira indica,high confidence,match to Hem's key,Makaira,genus derived from known species,NA,Black marlin,NO,NA,Pelagic marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,marlin rayado,Tetrapturus audax,high confidence,match to Hem's key,Tetrapturus,genus derived from known species,NA,Striped marlin,NO,NA,Pelagic marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,picua corsaria,Sphyraena barracuda,high confidence,match to Hem's key,Sphyraena,genus derived from known species,NA,Great barracuda,NO,NA,Pelagic marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,pistola,Fistularia petimba,high confidence,match to Hem's key,Fistularia,genus derived from known species,NA,Red cornetfish,NO,NA,Pelagic marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,tolete,unknown,medium confidence,conflicting matches in Hem's key and no data from IHH,NA,genus unknown,NA,Looks like this is probably a barracuda,NO,NA,Pelagic marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,cocodrilo,Pseudocarcharias kamoharai,high confidence,match to Hem's key,Pseudocarcharias,genus derived from known species,NA,Mackerel shark,NO,NA,Sharks,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,pez peine,Pristis pectinata,high confidence,match to Hem's key,Pristis,genus derived from known species,NA,Smalltooth sawfish,NO,NA,Sharks,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,abogado,unknown,not applicable,no data in keys,NA,genus unknown,NA,I don't know what this is… ?,NO,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,acedia,unknown,not applicable,no data in keys,NA,genus unknown,NA,I don't know what this is…,NO,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
PECES DE ORNATO,angel,unknown,not applicable,no data in keys,NA,genus unknown,NA,"Angel fish, pressumably freshwater but not totally clear; ask an expert",YES,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,arbolito,unknown,not applicable,no data in keys,NA,genus unknown,NA,I don't know what this is… an algae perhaps?,NO,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,bacinico,unknown,not applicable,no data in keys,NA,genus unknown,NA,I don't know what this is… a shellfish perhaps?,NA,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,baina,unknown,not applicable,no data in keys,NA,genus unknown,NA,I don't know what this is… A shelfish of some sort?,NO,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
