"recorded_taxa_group","recorded_taxa_name_clean","common_name_clean","keywords_1","keywords_2","keywords_3","keywords_4","keywords_5"
"SARDINA","PIÑA (OLIGOPLITES ALTUS)","piña","ENT","FCA",NA,NA,NA
"OTRAS","BAINA","baina","ENT","FCA",NA,NA,NA
"CARPA","CARPA HOCICONA","carpa hocicona","ENT","FCA",NA,NA,NA
"CARPA","CARPA PLATEADA","carpa plateada","ENT","FCA",NA,NA,NA
"CHARAL","CHARAL MARINO","charal marino","ENT","FCO",NA,NA,NA
"OSTION","OSTION JAPONES","ostion japones","DE CULTIVO","ENT","FCO",NA,NA
"ALMEJA","ALMEJA MANO LEON","almeja mano leon","DE CULTIVO","S.C.","FCA",NA,NA
"ALMEJA","ALMEJA MANO LEON","almeja mano leon","ENT","FCA",NA,NA,NA
"OTRAS","RANA TORO","rana toro","DE CULTIVO","ENT","FCA",NA,NA
"OTRAS","RANA TORO","rana toro","ANCAS DE",NA,NA,NA,NA
"PECES DE ORNATO","TETRA PINGÜINO","tetra pingüino","DE CULTIVO VIVO",NA,NA,NA,NA
"PECES DE ORNATO","ANGEL","angel","DE CULTIVO VIVO",NA,NA,NA,NA
"PECES DE ORNATO","BARBO TIGRE (SUMATRANO)","barbo tigre","DE CULTIVO","VIVO",NA,NA,NA
"PECES DE ORNATO","CEBRA RAYADA","cebra rayada","DE CULTIVO","VIVA",NA,NA,NA
"PECES DE ORNATO","BETA","beta","DE CULTIVO","VIVO",NA,NA,NA
"PECES DE ORNATO","TETRA ROJO","tetra rojo","DE CULTIVO","VIVO",NA,NA,NA
"OTRAS","PLANTAS ACUATICAS","plantas acuaticas","DE CULTIVO","ENT","FCA",NA,NA
"PECES DE ORNATO","PECES ORNATO","peces ornato",NA,NA,NA,NA,NA
"PECES DE ORNATO","GUPPY","guppy","DE CULTIVO","VIVO",NA,NA,NA
"PECES DE ORNATO","TETRA BUENOS AIRES","tetra buenos aires","DE CULTIVO","VIVO",NA,NA,NA
"TRUCHA","TRUCHA ARCO-IRIS","trucha arco-iris","DE CULTIVO","ENT","FCA",NA,NA
"TRUCHA","TRUCHA ARCO-IRIS","trucha arco-iris","DE CULTIVO","DESV","FCA",NA,NA
"BAGRE","BAGRE CANAL","bagre canal","DE CULTIVO","DESV","FCO",NA,NA
"TRUCHA","TRUCHA ARCO-IRIS","trucha arco-iris","DE CULTIVO","VIVA",NA,NA,NA
"BAGRE","BAGRE CANAL","bagre canal","DE CULTIVO","ENT","FCO",NA,NA
"PECES DE ORNATO","BARBO","barbo","DE CULTIVO","VIVO",NA,NA,NA
"ALMEJA","ALMEJA PATA MULA","almeja pata mula","DE CULTIVO","ENT","FCA",NA,NA
"ALMEJA","ALMEJA ARENERA","almeja arenera",NA,NA,NA,NA,NA
"PARGO","PARGO LUNAREJO","pargo lunarejo","ENT","FCO","DE CULTIVO",NA,NA
"TIBURON","TIBURON CARTON (CARCHARHINUS PLUMBEUS)","tiburon carton","DESV","DESC",NA,NA,NA
"ANCHOVETA","MANJUA","manjua","ENT","FCA",NA,NA,NA
"CAMARON","CAMRON AZUL","camron azul","DESC","CONGELADO",NA,NA,NA
"CARACOL","LANCETA","lanceta","ENT","FCA",NA,NA,NA
"TIBURON","TIBURON LIMON (NEGAPRION BREVIROSTIS)","tiburon limon","ENT","FCO",NA,NA,NA
"CAZON","CAZON PLAYA (RHIZORIONODON TERRENOVAE)","cazon playa","ENT","FCO",NA,NA,NA
"OTRAS","SANDUCHA","sanducha","ENT","FCA",NA,NA,NA
"OTRAS","CORUCO","coruco","DESV","FCO",NA,NA,NA
"TIBURON","TIBURON CORNUDA PRIETA (SPHYRNA ZYGAENA)","tiburon cornuda prieta","FILETE","FCO",NA,NA,NA
"OTRAS","TOPUCHE","topuche","ENT","FCO",NA,NA,NA
"CAZON","CAZON LEY (RHIZORIONODON TERRENOVAE)","cazon ley","DESV","FCO",NA,NA,NA
"CAZON","CAZON LEY (RHIZORIONODON TERRENOVAE)","cazon ley","ENT","FCO",NA,NA,NA
"OTRAS","CUCHILLA","cuchilla","ENT","FCA",NA,NA,NA
"TRUCHA","TRUCHA BLANCA AGUA MARINA","trucha blanca agua marina","DESV","FCA",NA,NA,NA
"LENGUADO","SOL","sol","ENT","FCO",NA,NA,NA
"ANCHOVETA","MANJUA","manjua","DESV","FCA",NA,NA,NA
"OTRAS","CONGRIO","congrio","ENT","FCO",NA,NA,NA
"OTRAS","CORAL BLANCO","coral blanco","ENT","FCO",NA,NA,NA
"OTRAS","CHOPA AMARILLA","chopa amarilla","ENT","FCA",NA,NA,NA
"PEPINO DE MAR","PEPINO MAR NEGRO O LÁPIZ","pepino mar negro o lápiz","ENT","FCO",NA,NA,NA
"OTRAS","TOLETE","tolete","ENT","FCO",NA,NA,NA
"TRUCHA","TRUCHA ARCO-IRIS SALMONADA","trucha arco-iris salmonada","DE CULTIVO","ENT","FCA",NA,NA
"ATUN","ATUN ALETA AZUL P","atun aleta azul p","VIVO","ABASTO RANCHO",NA,NA,NA
"TIBURON","TIBURON CARTON (CARCHARHINUS PLUMBEUS)","tiburon carton","DESV","FCO",NA,NA,NA
"OTRAS","ACEDIA","acedia","ENT","FCA",NA,NA,NA
"TIBURON","TIBURON ZORRO NEGRO (ALOPIAS SUPERCILIOSUS)","tiburon zorro negro","DESV","DESC","FCO",NA,NA
