estimated_genus_name,Major_Functional_Group,Major_Functional_Group_adjusted,estimated_taxa_group,family_from_previous.keys,family_from_taxize,new_estimated_family_name,new_family_est_reasoning
Trachinotus,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),PAMPANO,Carangidae,Carangidae,Carangidae,family name was estimated from previous keys
Brevoortia,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),OTRAS,NA,Clupeidae,Clupeidae,family name was estimated from genus name using taxize function
Ethmidium,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),OTRAS,NA,Clupeidae,Clupeidae,family name was estimated from genus name using taxize function
Coryphaena,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),OTRAS,Coryphaenidae,Coryphaenidae,Coryphaenidae,family name was estimated from previous keys
Hemiramphus,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),OTRAS,NA,Hemiramphidae,Hemiramphidae,family name was estimated from genus name using taxize function
Istiophorus,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),OTRAS,Istiophoridae,Istiophoridae,Istiophoridae,family name was estimated from previous keys
Makaira,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),OTRAS,NA,Istiophoridae,Istiophoridae,family name was estimated from genus name using taxize function
Tetrapturus,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),OTRAS,NA,Istiophoridae,Istiophoridae,family name was estimated from genus name using taxize function
Hemirhamphus,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),OTRAS,NA,NA,Hemiramphidae,family name was logged manually
Abudefduf,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),OTRAS,Pomacentridae,Pomacentridae,Pomacentridae,family name was estimated from previous keys
Euthynnus,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),BARRILETE,Scombridae,Scombridae,Scombridae,family name was estimated from previous keys
Katsuwonus,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),BARRILETE,Scombridae,Scombridae,Scombridae,family name was estimated from previous keys
Scomber,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),MACARELA,Scombridae,Scombridae,Scombridae,family name was estimated from previous keys
